id,A,B,length,freespeed,capacity
1019,1350,1351,100,12.500,1200
1020,1351,1151,312,12.500,1200
1021,1351,1350,100,12.500,1200
1022,1352,1235,347,8.333,660
1023,1352,1353,45,8.333,660
1024,1353,1236,302,8.333,660
1025,1353,1352,45,8.333,660
1026,1354,1236,80,8.333,660
1027,1354,1355,10,8.333,660
1028,1355,1354,10,8.333,660
1029,1355,1356,237,8.333,660
1030,1356,1355,237,8.333,660
1031,1356,1357,30,8.333,660
1032,1357,1285,443,8.333,660
1033,1357,1356,30,8.333,660
1034,1358,1154,74,11.111,780
1035,1358,1359,50,11.111,780
1036,1359,1358,50,11.111,780
1037,1359,1360,309,11.111,780
1038,1360,1359,309,11.111,780
1039,1360,1361,12,11.111,780
1040,1361,1155,297,11.111,780
1041,1361,1360,12,11.111,780
